BPUIC;lon;lat
8577045;8.922981906;45.96200817
8502246;8.513455872;47.16743378
8587376;8.513226586;47.14287783
8591161;8.518689383;47.41365869
8506852;8.96426563;47.42984792
8577887;7.21563122;46.74374577
8501789;7.218347519;46.0947627
8594278;7.214166396;47.14089915
8580115;8.922436423;45.92858246
8575253;8.922460878;45.92710663
8580238;8.922706248;45.93045028
8583557;8.970442327;47.63203896
8578607;8.964663759;47.42616339
8595974;8.924977047;45.97751072
8502258;8.512491963;47.09967832
8578608;8.965386759;47.42410279
8575757;8.928302722;46.09486112
8575266;8.925103436;45.9679182
8578621;8.966916264;47.46352899
8505257;8.938489389;46.4551564
8578850;8.939112508;46.5529304
8588622;8.513983446;47.17399564
8594212;8.92636937;46.0021263
8503999;8.95971181;47.26398547
8575278;8.926402256;45.98863025
8575328;8.92850769;46.06305347
8573337;8.972659738;47.63416851
8581646;8.926367743;45.9702857
8570878;7.356974784;46.21056056
8506599;9.504274291;47.44432903
8573841;8.960062312;47.17284793
8531411;7.218506309;46.12257731
8583086;7.218620358;46.0944394
8571234;7.214718485;47.06600839
8583440;7.215206597;46.96518327
8501762;7.219043099;46.066635
8504877;7.216055118;46.81507143
8593367;7.214778544;47.12698527
8530105;7.218985831;46.12236235
8530917;7.219023293;46.12269526
8577868;7.216751769;46.79238637
8583863;7.220320955;46.09275156
8577759;7.218282374;46.59841902
8591483;8.925393686;45.91689228
8575746;8.929308253;46.11652203
8578595;8.967131072;47.41144959
8573855;8.961939601;47.22996811
8573338;8.973875148;47.63615836
8578830;8.940317794;46.45113743
8594970;8.94157612;46.49371389
8572746;9.481747605;46.84488075
8504283;7.219226366;46.74137797
8577875;7.219182758;46.75844229
8579391;7.221507513;46.2034446
8594276;7.217789804;47.14134695
8500936;7.22236043;46.0903537
8572029;7.217423399;47.31210098
8580039;8.928016018;45.97300799
8570553;7.221038575;46.88500194
8579507;7.222820597;46.1469907
8571952;7.218511492;47.24423923
8592456;7.219177587;47.13087959
8582704;7.219415575;47.10187146
8570684;7.223857819;46.07460537
8531410;7.223800551;46.13157414
8570682;7.224296743;46.0976708
8570552;7.221405712;46.87535967
8594856;7.221153071;46.94077279
8557013;7.22455929;46.09667279
8594217;8.928803861;46.0005016
8588920;7.627252969;47.05596487
8578640;7.971019788;46.31036321
8572809;7.985849827;47.17716903
8587522;8.128485582;46.75151948
8506851;8.968827795;47.43037235
8591628;8.928358242;45.98272928
8575409;8.930515478;46.05659395
8503995;8.964289066;47.26322325
8505968;8.930853534;46.06518174
8508379;7.962551863;46.71182155
8579347;8.124278241;46.39258126
8579363;8.126544322;46.39083132
8587606;8.844512784;46.70020546
8573934;9.201165277;47.4652705
8573410;9.207842919;47.63969087
8500012;7.587736815;47.57802158
8503495;8.63274507;47.69785906
8509866;9.170549992;46.49598667
8500348;9.169798165;46.46023179
8573422;9.206361514;47.57770534
8572888;8.132170068;46.82841976
8577293;8.135414535;47.07830447
8557009;7.224548089;46.10607313
8530104;7.224802664;46.10382472
8500943;7.224818627;46.07021739
8570694;7.224946049;46.10353714
8509759;10.26680574;46.64831959
8502780;8.514068343;47.17165599
8506850;8.968909972;47.41755222
8580721;8.933685581;46.14548007
8575648;8.927401465;45.90824658
8594215;8.930353879;46.01141254
8594213;8.930329965;46.01006329
8575767;8.927985224;45.91028116
8505651;8.942571835;45.95051057
8591627;8.930543743;45.98762172
8575319;8.932151858;46.04035043
8595131;8.932190983;46.03894635
8506863;8.977647325;47.65194884
8578620;8.972254513;47.46510455
8575618;8.926971147;45.84500381
8502863;8.514169426;47.16355899
8595340;8.512959776;47.10329924
8577554;8.513013948;47.09943056
8505770;8.928819127;45.91203352
8578835;8.945305403;46.50788918
8575277;8.931159646;45.99079852
8500979;8.140620499;47.44683849
8577277;8.287119514;47.08393208
8508971;8.28294935;46.81411014
8589723;8.292337381;47.03696383
8517371;8.419737624;47.45448667
8591589;8.931734937;46.00902799
8590262;8.139881359;47.38264919
8575252;8.929807321;45.93317236
8573358;8.977637137;47.62225594
8573591;8.967370589;47.26099632
8578831;8.945278179;46.4769299
8591485;8.930043784;45.92197694
8506718;8.978636253;47.64520737
8590843;8.418569841;47.39033649
