BPUIC;y_Koord_Ost;x_Koord_Nord
8593951;2555408;1144673
8593976;2555863;1144363
8570451;2555953;1158389
8530058;2555992;1129362
8583819;2556026;1206353
8595111;2556032;1147125
8504694;2556050;1171345
8593968;2556051;1145661
8570452;2556284;1158522
8595960;2556396;1144937
8595959;2556405;1144737
8504962;2556417;1149356
8583699;2556473;1204215
8580690;2556480;1155174
8504741;2556495;1203952
8504669;2556522;1129845
8577676;2556523;1161419
8577621;2556529;1184922
8593957;2556530;1145562
8593961;2556610;1144648
8593955;2556611;1144221
8570443;2556625;1155525
8531274;2765477;1187174
8519226;2583502;1216965
8504976;2556627;1167236
8504723;2556670;1185163
8530740;2556686;1134909
8588820;2556713;1184035
8580772;2556714;1203906
8582531;2556717;1129981
8591902;2556753;1149830
8504697;2556782;1165346
8587436;2556779;1213686
8504902;2556852;1184299
8504150;2557400;1181450
8570471;2557466;1172313
8504936;2557490;1168213
8593915;2557493;1143627
8500709;2557531;1117513
8504552;2557615;1202676
8593905;2557618;1145842
8593914;2557724;1144655
8588865;2557729;1162488
8502627;2722546;1123255
8504955;2557770;1150848
8504665;2557793;1128531
8593908;2557793;1145392
8593917;2557820;1143486
8593913;2557963;1144954
8594160;2557996;1143391
8594878;2557959;1203931
8570374;2558025;1179175
8579210;2558057;1145700
8570590;2558060;1133283
8504798;2558100;1159575
8579197;2558142;1143510
8504746;2558148;1204138
8500704;2558164;1120869
8579199;2558320;1143841
8577691;2558332;1167478
8579198;2558332;1143667
8594877;2558395;1203881
8570373;2558400;1178760
8596074;2558464;1170694
8570589;2558514;1133952
8570445;2558531;1157235
8504094;2558579;1166801
8557105;2558593;1136548
8595971;2558602;1144658
8591840;2558630;1221543
8577718;2558350;1153090
8570474;2558675;1175275
8591841;2558676;1222442
8577674;2558684;1162955
8580445;2558700;1135187
8579208;2558700;1145367
8504563;2558702;1194435
8557139;2558715;1178590
8594275;2583511;1221391
8504093;2558721;1171158
8504965;2558451;1152399
8504155;2558730;1174453
8593613;2558533;1204263
8588817;2558596;1211952
8570454;2558732;1160211
8570580;2558775;1144950
8593943;2558908;1143324
8504772;2560275;1171825
8579609;2558746;1211987
8570467;2558968;1171541
8501189;2558953;1143675
8591806;2559107;1152153
8591807;2559139;1152550
8593925;2559153;1143105
8583689;2559199;1144711
8570578;2559268;1144845
8504551;2559289;1203328
8504713;2559353;1152402
8593939;2559389;1143148
8570579;2559391;1143971
8570415;2559393;1193144
8596060;2559400;1170835
8593929;2559369;1142880
8577688;2559437;1169971
8593931;2559459;1142382
8593945;2559472;1143225
8570403;2559514;1182878
8593938;2559514;1142896
8595676;2559532;1225197
8580471;2559581;1170766
8593921;2559594;1143040
8500705;2559613;1120706
8571233;2583562;1212168
8591842;2559631;1225257
8570465;2559713;1171480
8583485;2559729;1193135
8570617;2559739;1129449
8580466;2559750;1171150
8570970;2569040;1103543
8570967;2569075;1103109
8588828;2569099;1183412
8583498;2569105;1217845
8583723;2569118;1191803
8583754;2569155;1218787
8504567;2569166;1207706
8583594;2569170;1109305
8595973;2578291;1170648
8587450;2578300;1195282
8584840;2578319;1132991
8589163;2578369;1185211
8589154;2578370;1182837
8589161;2578383;1183684
8582578;2578394;1164631
8571353;2587832;1205590
8504603;2587855;1178598
8577973;2596108;1227660
8576481;2596122;1236650
8530129;2602964;1107781
8504265;2559768;1167753
8593923;2559838;1142241
8593927;2559864;1142370
8593932;2559878;1142623
8570402;2559895;1182875
8579054;2559900;1120000
8570411;2559900;1190670
8577639;2559912;1190678
8593566;2559940;1205675
8570463;2559950;1171425
8504935;2559983;1170997
8557121;2560042;1180165
8570485;2560085;1174681
8531440;2560127;1148642
8577686;2560156;1171785
8570455;2560176;1161475
8504788;2560200;1160553
8579373;2560389;1125630
8593575;2560393;1205564
8530031;2560426;1142411
8501314;2560474;1138714
8504998;2560525;1176159
8570483;2560593;1172237
8593777;2560895;1139504
8570447;2560900;1158200
8593583;2560857;1204713
8593582;2560865;1204949
8583724;2560824;1191130
8504253;2560847;1212706
8557020;2560939;1191726
8570572;2560962;1146481
8557131;2560977;1184966
8583645;2765505;1163267
8531058;2767410;1182904
8509797;2767413;1154804
8579630;2560894;1205659
8504986;2561134;1191316
8583387;2561007;1125675
8530823;2561065;1101945
8591823;2561085;1133687
8570479;2561093;1179047
8571848;2561094;1204827
8530008;2561100;1205104
8579387;2561633;1124982
8504550;2561562;1204558
8500749;2561575;1120667
8504261;2561234;1204476
8557132;2561447;1185597
8557133;2561597;1185439
8501351;2561608;1145215
8579049;2561622;1122391
8582425;2561645;1125150
8581049;2561654;1129403
8504980;2561657;1178103
8577720;2561732;1152609
8583666;2561745;1126025
8504158;2561825;1182400
8530792;2561896;1204895
8583381;2562225;1122128
8579973;2562421;1122620
8589799;2665575;1212502
8583718;2562437;1122969
8579039;2562460;1120973
8504478;2562471;1124264
8577722;2562553;1152104
8583721;2562596;1122044
8579034;2562649;1121562
8557137;2562652;1185541
8580410;2562657;1122622
8504795;2562662;1179661
8583720;2562665;1123173
8579061;2562685;1122800
8581047;2562697;1129618
8583382;2562743;1123453
8582235;2562750;1131010
8577723;2562786;1151727
8583404;2562857;1132359
8595984;2562875;1152145
8581845;2562877;1129904
8500739;2562900;1119100
8594992;2563540;1163586
8579386;2562134;1124466
8570413;2562959;1192354
8571937;2563015;1233776
8580767;2563015;1121924
8577833;2563033;1195579
8579638;2563078;1211526
8591686;2563144;1174467
8570412;2563181;1191817
8501759;2563191;1133134
8504661;2563194;1132514
8595963;2563239;1130679
8504715;2563241;1152053
8500745;2563253;1119406
8577683;2563411;1169527
8570495;2563425;1174275
8579037;2563450;1120992
8570604;2563492;1131767
8575838;2563664;1176466
8570601;2563920;1129661
8582234;2563975;1129800
8594242;2564067;1166751
8570985;2564134;1102323
8577832;2564172;1196010
8582430;2564309;1134213
8577643;2564455;1192423
8580398;2564504;1134391
8577831;2564519;1195756
8501536;2564679;1103887
8570526;2565125;1197375
8570660;2565127;1117893
8570659;2565249;1118085
8592362;2565335;1221837
8580534;2565539;1120974
8593490;2565540;1109980
8571935;2565550;1235457
8594246;2565567;1163372
8571910;2565671;1206886
8581638;2565692;1184176
8595507;2565714;1231396
8594388;2565720;1165361
8557088;2565755;1100525
8500769;2565756;1235728
8504894;2565774;1175049
8595506;2565816;1231041
8530961;2565822;1107637
8570983;2565831;1099735
8581804;2565839;1184710
8570517;2565852;1195063
